daily_volume_usd,day,project,trade_count
29820.295363649122,2024-01-25,kyberswap,28
589520.7949212084,2024-01-25,maverick,168
10603611.263777133,2024-01-25,pancakeswap,562
21396.506397590892,2024-01-25,shibaswap,66
1046777.589423046,2024-01-25,solidly,100
1364685.8745026828,2024-01-25,sushiswap,811
1.144047415446,2024-01-25,swapr,1
245401718.11426038,2024-01-25,uniswap,17343
2724.6717177371274,2024-01-25,verse_dex,29
14512160.385570781,2024-01-26,0x-API,761
3642979.0458783587,2024-01-26,1inch-LOP,1722
5713.109098752833,2024-01-26,airswap,24
1978770.8860967057,2024-01-26,balancer,43
2569.7917939948697,2024-01-26,bancor,7
141495.59108186516,2024-01-26,clipper,44
76346244.90274045,2024-01-26,curve,986
9882.64754027668,2024-01-26,defiswap,111
36952901.06671754,2024-01-26,dodo,223
3177637.7729098694,2024-01-26,integral,31
18973.421353294416,2024-01-26,kyberswap,45
1667206.466543321,2024-01-26,maverick,168
14348009.419634553,2024-01-26,pancakeswap,690
23255.86336672103,2024-01-26,shibaswap,89
1169155.257986743,2024-01-26,solidly,125
774822.5345551048,2024-01-26,sushiswap,845
243153019.44752157,2024-01-26,uniswap,19173
3128.8685460446045,2024-01-26,verse_dex,33
13833667.245321864,2024-01-27,0x-API,669
6038227.260257888,2024-01-27,1inch-LOP,570
10248.98783451443,2024-01-27,airswap,83
1371254.587495937,2024-01-27,balancer,33
161972.91754768998,2024-01-27,clipper,69
30029556.168295506,2024-01-27,curve,635
5532.496467282152,2024-01-27,defiswap,85
95380929.63360368,2024-01-27,dodo,222
1969048.0374463813,2024-01-27,integral,23
5882.127445320806,2024-01-27,kyberswap,25
3177406.4760298207,2024-01-27,maverick,155
7714023.224287994,2024-01-27,pancakeswap,462
8491.422410128267,2024-01-27,shibaswap,35
826968.6545195585,2024-01-27,solidly,88
715430.0673737694,2024-01-27,sushiswap,711
185891450.87436682,2024-01-27,uniswap,14848
354.2538635814534,2024-01-27,verse_dex,13
4300268.904443994,2024-01-28,0x-API,609
4205946.005656628,2024-01-28,1inch-LOP,341
7582.550734812569,2024-01-28,airswap,70
261473.83176714418,2024-01-28,balancer,21
513.208424478207,2024-01-28,bancor,3
820.571571670675,2024-01-28,carbon_defi,1
236971.92263747434,2024-01-28,clipper,147
20419010.86383942,2024-01-28,curve,731
5840.905359063059,2024-01-28,defiswap,109
35905477.14144828,2024-01-28,dodo,221
1428022.7175909523,2024-01-28,integral,21
6649.5522699089015,2024-01-28,kyberswap,27
2330258.4354891377,2024-01-28,maverick,196
5409824.073488512,2024-01-28,pancakeswap,563
21021.076463571273,2024-01-28,shibaswap,67
618265.8997437936,2024-01-28,solidly,70
425037.3764048694,2024-01-28,sushiswap,641
146104109.20162523,2024-01-28,uniswap,16270
2063.7446124887183,2024-01-28,verse_dex,33
4292745.36012546,2024-01-29,0x-API,760
3229299.7998465993,2024-01-29,1inch-LOP,542
257124.7755905639,2024-01-29,airswap,33
2261062.894762717,2024-01-29,balancer,46
926.7169924317961,2024-01-29,bancor,2
4.756528612148,2024-01-29,carbon_defi,2
294073.1409763089,2024-01-29,clipper,80
72020634.88545124,2024-01-29,curve,873
8916.916429155317,2024-01-29,defiswap,122
54505675.86912598,2024-01-29,dodo,278
1568999.8556710724,2024-01-29,integral,22
61562.2004130629,2024-01-29,kyberswap,33
4518757.5756963035,2024-01-29,maverick,195
14129843.563080136,2024-01-29,pancakeswap,590
20121.558077721333,2024-01-29,shibaswap,63
635820.0809616874,2024-01-29,solidly,91
864659.4250882663,2024-01-29,sushiswap,865
12006.791129041058,2024-01-29,swaap,1
327143081.91498905,2024-01-29,uniswap,17182
1904.1519885077498,2024-01-29,verse_dex,28
19622134.065704886,2024-01-30,0x-API,796
5060236.885651037,2024-01-30,1inch-LOP,508
745804.9905444541,2024-01-30,balancer,30
1157.5972499459021,2024-01-30,bancor,6
0.0004064601097555083,2024-01-30,carbon_defi,1
226682.98514966757,2024-01-30,clipper,69
85295636.65887599,2024-01-30,curve,991
10762.880423000857,2024-01-30,defiswap,91
21879659.078861076,2024-01-30,dodo,171
1196133.8588102523,2024-01-30,integral,14
43849.56130655152,2024-01-30,kyberswap,26
1173877.2145936328,2024-01-30,maverick,147
9316477.857061537,2024-01-30,pancakeswap,453
59506.67541716181,2024-01-30,shibaswap,70
950158.4727575914,2024-01-30,solidly,71
978315.2678453827,2024-01-30,sushiswap,783
5909.454439137786,2024-01-30,swaap,1
318623026.03790164,2024-01-30,uniswap,15874
1878.3408359260368,2024-01-30,verse_dex,15
18312914.973299682,2024-01-31,0x-API,768
2374008.9537704038,2024-01-31,1inch-LOP,297
12081.150082123588,2024-01-31,airswap,30
4691547.727171094,2024-01-31,balancer,46
2318.43146696992,2024-01-31,bancor,3
342653.52207061835,2024-01-31,clipper,95
114353213.2510343,2024-01-31,curve,855
12479.92642035802,2024-01-31,defiswap,97
16223444.671428906,2024-01-31,dodo,151
2135340.844789986,2024-01-31,integral,18
10122.621255159715,2024-01-31,kyberswap,27
771977.530707162,2024-01-31,maverick,127
23898336.170311943,2024-01-31,pancakeswap,591
30749.73113625159,2024-01-31,shibaswap,79
1425076.2108512188,2024-01-31,solidly,94
1058836.1437633832,2024-01-31,sushiswap,772
358297834.30529064,2024-01-31,uniswap,16790
12333.047613556253,2024-01-31,verse_dex,22
7480450.5033612065,2024-02-01,0x-API,639
2509128.7002711077,2024-02-01,1inch-LOP,328
19497.027075289232,2024-02-01,airswap,51
1046021.4608606233,2024-02-01,balancer,63
4330.304933791702,2024-02-01,bancor,4
4.844123289531559,2024-02-01,carbon_defi,1
218970.8212965926,2024-02-01,clipper,42
84024839.44486512,2024-02-01,curve,710
6871.300412416248,2024-02-01,defiswap,72
19231369.164575312,2024-02-01,dodo,109
636525.8128740002,2024-02-01,integral,11
23677.39325350525,2024-02-01,kyberswap,29
257714.71605377542,2024-02-01,maverick,111
17228813.18502891,2024-02-01,pancakeswap,437
30539.775894042214,2024-02-01,shibaswap,53
852520.5639557141,2024-02-01,solidly,86
545795.1156921692,2024-02-01,sushiswap,631
238674856.64922088,2024-02-01,uniswap,13480
9172.258627216135,2024-02-01,verse_dex,24
9576885.566909866,2024-02-02,0x-API,644
3367983.2233496113,2024-02-02,1inch-LOP,417
18728.545084075275,2024-02-02,airswap,53
228032.21379361217,2024-02-02,balancer,65
3024.058699612893,2024-02-02,bancor,7
174586.91296715915,2024-02-02,clipper,49
64700520.80766622,2024-02-02,curve,828
6859.387451249604,2024-02-02,defiswap,78
19656074.427868288,2024-02-02,dodo,97
643443.723851196,2024-02-02,integral,10
10210.828424962296,2024-02-02,kyberswap,14
113354.7593833806,2024-02-02,maverick,97
15962428.765930388,2024-02-02,pancakeswap,440
33055.62055247823,2024-02-02,shibaswap,65
613596.1150603598,2024-02-02,solidly,75
554242.4506035072,2024-02-02,sushiswap,693
176121049.30224094,2024-02-02,uniswap,14400
831.9531575227093,2024-02-02,verse_dex,6
5662506.3499674555,2024-02-03,0x-API,576
3976317.8245966784,2024-02-03,1inch-LOP,296
20180.90735432687,2024-02-03,airswap,71
195287.94982739058,2024-02-03,balancer,18
88373.60549605523,2024-02-03,clipper,60
18285142.390190586,2024-02-03,curve,546
5291.933479898762,2024-02-03,defiswap,66
5367913.829200932,2024-02-03,dodo,65
1262972.249659492,2024-02-03,integral,16
27990.50457884327,2024-02-03,kyberswap,17
174654.17438658778,2024-02-03,maverick,141
3269813.801086839,2024-02-03,pancakeswap,283
12455.046238348641,2024-02-03,shibaswap,33
1496288.154843042,2024-02-03,solidly,88
304798.4810543172,2024-02-03,sushiswap,605
109091254.30011375,2024-02-03,uniswap,12196
530.4692208159111,2024-02-03,verse_dex,7
1586017.942170265,2024-02-04,0x-API,470
2214131.9699019305,2024-02-04,1inch-LOP,306
15881.404943223344,2024-02-04,airswap,72
116174.97433839753,2024-02-04,balancer,25
2638.504234017608,2024-02-04,bancor,6
309673.6192319612,2024-02-04,clipper,46
13506704.976246351,2024-02-04,curve,615
4827.657955443672,2024-02-04,defiswap,77
5180842.745981021,2024-02-04,dodo,80
731024.795234784,2024-02-04,integral,6
5664.49407903397,2024-02-04,kyberswap,13
243185.57854401213,2024-02-04,maverick,109
6272766.470171596,2024-02-04,pancakeswap,384
13065.372566147526,2024-02-04,shibaswap,54
1965306.2835273594,2024-02-04,solidly,124
466836.2251777095,2024-02-04,sushiswap,612
115550648.64712283,2024-02-04,uniswap,12624
587.6987771946705,2024-02-04,verse_dex,12
11670140.917081663,2024-02-05,0x-API,669
3852945.1462496533,2024-02-05,1inch-LOP,361
15485.32105450139,2024-02-05,airswap,40
369719.85088569246,2024-02-05,balancer,53
1155.418977966376,2024-02-05,bancor,3
88104.1377854545,2024-02-05,clipper,36
84702550.34643069,2024-02-05,curve,830
12205.852870330627,2024-02-05,defiswap,93
18458860.65698033,2024-02-05,dodo,125
836561.9175895436,2024-02-05,integral,13
10247.831605034355,2024-02-05,kyberswap,18
248676.9314154801,2024-02-05,maverick,104
10961874.009812627,2024-02-05,pancakeswap,455
15267.631229147008,2024-02-05,shibaswap,52
1835056.499973072,2024-02-05,solidly,125
674850.8828765799,2024-02-05,sushiswap,721
4877.65853897091,2024-02-05,swaap,1
179712682.6467692,2024-02-05,uniswap,14820
2708.579924183678,2024-02-05,verse_dex,21
13925949.600637784,2024-02-06,0x-API,617
3494988.821310921,2024-02-06,1inch-LOP,346
23298.82524500596,2024-02-06,airswap,36
372016.9059212734,2024-02-06,balancer,66
203.921548569684,2024-02-06,bancor,1
87545.62332677041,2024-02-06,clipper,42
70019750.19249149,2024-02-06,curve,602
4881.848081424226,2024-02-06,defiswap,65
23309531.42980781,2024-02-06,dodo,102
380937.1997240024,2024-02-06,integral,9
4962.033521062045,2024-02-06,kyberswap,6
208754.7647781721,2024-02-06,maverick,97
14074416.451033846,2024-02-06,pancakeswap,387
38090.13900917081,2024-02-06,shibaswap,38
1096859.6514898457,2024-02-06,solidly,74
1375760.440312684,2024-02-06,sushiswap,662
188644474.330739,2024-02-06,uniswap,13429
3627.382314009341,2024-02-06,verse_dex,17
9934126.145056585,2024-02-07,0x-API,614
6666461.618447009,2024-02-07,1inch-LOP,314
35254.284122030185,2024-02-07,airswap,43
845919.2188476882,2024-02-07,balancer,32
1698.150664,2024-02-07,bancor,2
134629.73741506817,2024-02-07,clipper,51
84793941.41236053,2024-02-07,curve,617
9736.254432904356,2024-02-07,defiswap,78
45698098.68212481,2024-02-07,dodo,78
2275515.598332757,2024-02-07,integral,18
7220.911708742524,2024-02-07,kyberswap,12
200721.12784491738,2024-02-07,maverick,73
12058272.23966142,2024-02-07,pancakeswap,315
22269.6605644488,2024-02-07,shibaswap,45
1501800.4038551268,2024-02-07,solidly,85
489377.5696470821,2024-02-07,sushiswap,575
234206180.2063812,2024-02-07,uniswap,12073
104315.85551367444,2024-02-07,verse_dex,13
10050515.724670386,2024-02-08,0x-API,575
9359714.738467481,2024-02-08,1inch-LOP,346
100282.43414727379,2024-02-08,airswap,33
2211598.433226282,2024-02-08,balancer,37
1058.6217346753242,2024-02-08,carbon_defi,1
157405.36440223758,2024-02-08,clipper,52
63580845.08414681,2024-02-08,curve,510
5512.568586703748,2024-02-08,defiswap,50
68041849.96456303,2024-02-08,dodo,90
1926830.674450886,2024-02-08,integral,16
5214.448449212248,2024-02-08,kyberswap,7
317691.3261123266,2024-02-08,maverick,51
5968065.879355516,2024-02-08,pancakeswap,247
21793.93042282095,2024-02-08,shibaswap,31
1256188.16164696,2024-02-08,solidly,76
511074.6498891084,2024-02-08,sushiswap,496
236148489.33602354,2024-02-08,uniswap,11445
1159.49292531606,2024-02-08,verse_dex,6
11966238.563939484,2024-02-09,0x-API,529
13432776.566105662,2024-02-09,1inch-LOP,327
156829.43036527984,2024-02-09,airswap,34
687655.7276544761,2024-02-09,balancer,27
1792.3477803018,2024-02-09,bancor,2
961.7666318303601,2024-02-09,carbon_defi,1
231457.78867176804,2024-02-09,clipper,58
73558289.12499313,2024-02-09,curve,475
